index,Station Name,Measurement Timestamp,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,Measurement Timestamp Label,Measurement ID
11,Oak Street Weather Station,05/23/2015 12:00:00 PM,,11.2,55.0,0.0,0.0,1.4,0.0,109.0,2.5,3.8,,900.0,322.0,12.1,05/23/2015 12:00 PM,OakStreetWeatherStation201505231200
12,Oak Street Weather Station,05/23/2015 05:00:00 PM,,12.4,43.0,0.0,0.0,1.4,0.0,147.0,2.0,3.0,,53.0,322.0,12.1,05/23/2015 5:00 PM,OakStreetWeatherStation201505231700
13,Oak Street Weather Station,05/23/2015 01:00:00 PM,,11.7,50.0,0.0,0.0,1.4,0.0,137.0,2.2,3.3,,887.0,322.0,12.0,05/23/2015 1:00 PM,OakStreetWeatherStation201505231300
14,Oak Street Weather Station,05/23/2015 04:00:00 PM,,12.5,45.0,0.0,0.0,1.4,0.0,136.0,2.0,3.5,,563.0,322.0,12.1,05/23/2015 4:00 PM,OakStreetWeatherStation201505231600
15,Oak Street Weather Station,05/23/2015 06:00:00 PM,,12.4,40.0,0.0,0.0,1.4,0.0,150.0,1.1,3.0,,44.0,322.0,12.1,05/23/2015 6:00 PM,OakStreetWeatherStation201505231800
16,Oak Street Weather Station,05/24/2015 12:00:00 AM,,13.4,33.0,0.0,0.0,1.4,0.0,7.0,1.0,1.4,,0.0,322.0,12.1,05/24/2015 12:00 AM,OakStreetWeatherStation201505242400
17,Oak Street Weather Station,05/24/2015 07:00:00 AM,,13.7,55.0,0.0,0.1,1.5,60.0,193.0,0.4,0.8,,43.0,322.0,12.1,05/24/2015 7:00 AM,OakStreetWeatherStation201505240700
18,Oak Street Weather Station,05/24/2015 08:00:00 AM,,14.0,68.0,0.0,1.0,2.5,0.0,119.0,0.7,1.1,,59.0,322.0,12.1,05/24/2015 8:00 AM,OakStreetWeatherStation201505240800
19,Oak Street Weather Station,05/24/2015 09:00:00 AM,,14.0,76.0,0.0,0.1,2.5,0.0,345.0,0.6,1.3,,120.0,322.0,12.0,05/24/2015 9:00 AM,OakStreetWeatherStation201505240900
20,Oak Street Weather Station,05/24/2015 12:00:00 PM,,13.4,63.0,0.0,0.0,2.6,0.0,145.0,2.3,3.5,,358.0,322.0,12.1,05/24/2015 12:00 PM,OakStreetWeatherStation201505241200
21,Oak Street Weather Station,05/24/2015 03:00:00 PM,,12.6,70.0,0.0,0.0,2.6,0.0,137.0,1.1,3.0,,266.0,322.0,12.1,05/24/2015 3:00 PM,OakStreetWeatherStation201505241500
22,Oak Street Weather Station,05/24/2015 04:00:00 PM,,14.3,73.0,1.2,0.4,3.0,60.0,147.0,1.0,3.8,,40.0,322.0,12.0,05/24/2015 4:00 PM,OakStreetWeatherStation201505241600
23,Oak Street Weather Station,05/24/2015 09:00:00 PM,,15.7,82.0,0.0,0.0,11.1,0.0,148.0,2.4,4.3,,1.0,322.0,12.1,05/24/2015 9:00 PM,OakStreetWeatherStation201505242100
24,Oak Street Weather Station,05/24/2015 10:00:00 PM,,15.3,84.0,0.0,0.0,11.1,0.0,0.0,1.0,1.9,,2.0,322.0,12.2,05/24/2015 10:00 PM,OakStreetWeatherStation201505242200
25,Oak Street Weather Station,05/25/2015 09:00:00 AM,,19.6,69.0,0.0,0.0,11.1,0.0,296.0,2.1,5.7,,251.0,322.0,12.1,05/25/2015 9:00 AM,OakStreetWeatherStation201505250900
26,Oak Street Weather Station,05/25/2015 10:00:00 AM,,19.7,72.0,0.0,0.0,11.1,0.0,9.0,1.2,3.1,,126.0,322.0,12.1,05/25/2015 10:00 AM,OakStreetWeatherStation201505251000
27,Oak Street Weather Station,05/23/2015 08:00:00 PM,,11.8,41.0,0.0,0.0,1.4,0.0,142.0,1.3,3.1,,6.0,322.0,12.1,05/23/2015 8:00 PM,OakStreetWeatherStation201505232000
28,Oak Street Weather Station,05/23/2015 09:00:00 PM,,12.1,38.0,0.0,0.0,1.4,0.0,134.0,1.5,2.5,,0.0,322.0,12.1,05/23/2015 9:00 PM,OakStreetWeatherStation201505232100
29,Oak Street Weather Station,05/23/2015 10:00:00 PM,,12.8,44.0,0.0,0.0,1.4,0.0,169.0,1.5,2.2,,0.0,322.0,12.1,05/23/2015 10:00 PM,OakStreetWeatherStation201505232200
30,Oak Street Weather Station,05/23/2015 11:00:00 PM,,13.3,41.0,0.0,0.0,1.4,0.0,118.0,0.8,1.2,,0.0,322.0,12.1,05/23/2015 11:00 PM,OakStreetWeatherStation201505232300
31,Oak Street Weather Station,05/24/2015 01:00:00 PM,,13.6,65.0,0.0,0.0,2.6,0.0,159.0,1.7,3.1,,226.0,322.0,12.1,05/24/2015 1:00 PM,OakStreetWeatherStation201505241300
32,Oak Street Weather Station,05/25/2015 05:00:00 PM,,19.2,55.0,0.0,0.0,12.1,0.0,81.0,1.1,1.9,,163.0,322.0,12.1,05/25/2015 5:00 PM,OakStreetWeatherStation201505251700
33,Oak Street Weather Station,05/24/2015 03:00:00 AM,,13.5,39.0,0.0,0.0,1.4,0.0,0.0,0.0,0.8,,0.0,322.0,12.0,05/24/2015 3:00 AM,OakStreetWeatherStation201505240300
34,Oak Street Weather Station,05/24/2015 06:00:00 AM,,12.8,64.0,0.0,0.0,1.4,0.0,350.0,0.5,1.0,,16.0,322.0,12.1,05/24/2015 6:00 AM,OakStreetWeatherStation201505240600
35,Oak Street Weather Station,05/24/2015 04:00:00 AM,,13.4,40.0,0.0,0.0,1.4,0.0,145.0,0.5,0.7,,0.0,322.0,12.1,05/24/2015 4:00 AM,OakStreetWeatherStation201505240400
36,Oak Street Weather Station,05/24/2015 05:00:00 PM,,13.4,82.0,7.2,5.8,8.9,60.0,47.0,1.0,1.4,,47.0,322.0,12.1,05/24/2015 5:00 PM,OakStreetWeatherStation201505241700
37,Oak Street Weather Station,05/24/2015 05:00:00 AM,,13.3,53.0,0.0,0.0,1.4,0.0,28.0,0.9,1.3,,0.0,322.0,12.1,05/24/2015 5:00 AM,OakStreetWeatherStation201505240500
38,Oak Street Weather Station,05/24/2015 10:00:00 AM,,13.7,56.0,0.0,0.1,2.6,0.0,142.0,2.5,3.8,,251.0,322.0,12.0,05/24/2015 10:00 AM,OakStreetWeatherStation201505241000
39,Oak Street Weather Station,05/24/2015 11:00:00 AM,,13.5,59.0,0.0,0.0,2.6,0.0,147.0,2.1,3.1,,439.0,322.0,12.1,05/24/2015 11:00 AM,OakStreetWeatherStation201505241100
40,Oak Street Weather Station,05/24/2015 06:00:00 PM,,13.1,88.0,0.0,1.7,10.6,0.0,67.0,0.8,1.1,,38.0,322.0,12.0,05/24/2015 6:00 PM,OakStreetWeatherStation201505241800
41,Oak Street Weather Station,05/24/2015 07:00:00 PM,,14.2,86.0,0.0,0.1,10.7,0.0,105.0,0.5,1.0,,17.0,322.0,12.0,05/24/2015 7:00 PM,OakStreetWeatherStation201505241900
42,Oak Street Weather Station,05/24/2015 08:00:00 PM,,16.4,87.0,0.0,0.3,11.1,0.0,164.0,2.1,3.4,,4.0,322.0,12.1,05/24/2015 8:00 PM,OakStreetWeatherStation201505242000
43,Oak Street Weather Station,05/25/2015 06:00:00 AM,,18.6,72.0,0.0,0.0,11.1,0.0,12.0,0.7,2.0,,9.0,322.0,12.1,05/25/2015 6:00 AM,OakStreetWeatherStation201505250600
44,Oak Street Weather Station,05/25/2015 07:00:00 AM,,19.4,78.0,0.0,0.0,11.1,0.0,305.0,1.5,1.9,,26.0,322.0,12.0,05/25/2015 7:00 AM,OakStreetWeatherStation201505250700
45,Oak Street Weather Station,05/25/2015 08:00:00 AM,,19.5,74.0,0.0,0.0,11.1,0.0,317.0,1.6,5.5,,142.0,322.0,12.1,05/25/2015 8:00 AM,OakStreetWeatherStation201505250800
46,Oak Street Weather Station,05/25/2015 11:00:00 AM,,18.3,85.0,0.0,0.2,11.2,60.0,342.0,2.1,5.4,,336.0,322.0,12.1,05/25/2015 11:00 AM,OakStreetWeatherStation201505251100
47,Oak Street Weather Station,05/25/2015 12:00:00 PM,,19.0,74.0,0.0,0.0,11.2,0.0,81.0,2.0,3.4,,138.0,322.0,12.1,05/25/2015 12:00 PM,OakStreetWeatherStation201505251200
48,Oak Street Weather Station,05/25/2015 01:00:00 PM,,19.9,78.0,0.0,0.8,12.1,0.0,289.0,2.7,4.4,,990.0,322.0,12.1,05/25/2015 1:00 PM,OakStreetWeatherStation201505251300
49,Oak Street Weather Station,05/25/2015 03:00:00 PM,,19.2,58.0,0.0,0.0,12.1,0.0,96.0,1.3,3.3,,673.0,322.0,12.1,05/25/2015 3:00 PM,OakStreetWeatherStation201505251500
50,Oak Street Weather Station,05/25/2015 02:00:00 PM,,19.3,65.0,0.0,0.0,12.1,0.0,301.0,3.4,9.4,,506.0,322.0,12.0,05/25/2015 2:00 PM,OakStreetWeatherStation201505251400
51,Oak Street Weather Station,05/25/2015 04:00:00 PM,,19.1,54.0,0.0,0.0,12.1,0.0,280.0,2.1,8.5,,229.0,322.0,12.1,05/25/2015 4:00 PM,OakStreetWeatherStation201505251600
52,Oak Street Weather Station,05/25/2015 06:00:00 PM,,19.0,50.0,0.0,0.0,12.1,0.0,342.0,1.6,4.1,,55.0,322.0,12.1,05/25/2015 6:00 PM,OakStreetWeatherStation201505251800
53,Oak Street Weather Station,05/25/2015 07:00:00 PM,,18.8,49.0,0.0,0.0,12.1,0.0,247.0,0.9,4.6,,39.0,322.0,12.2,05/25/2015 7:00 PM,OakStreetWeatherStation201505251900
54,Oak Street Weather Station,05/26/2015 03:00:00 AM,,19.4,80.0,0.0,0.0,12.1,0.0,298.0,1.9,5.2,,0.0,322.0,12.0,05/26/2015 3:00 AM,OakStreetWeatherStation201505260300
55,Oak Street Weather Station,05/26/2015 04:00:00 AM,,19.1,82.0,0.0,0.0,12.1,0.0,348.0,1.7,3.1,,0.0,322.0,12.1,05/26/2015 4:00 AM,OakStreetWeatherStation201505260400
56,Oak Street Weather Station,05/26/2015 05:00:00 AM,,19.1,84.0,0.0,0.0,12.1,0.0,166.0,0.8,1.5,,0.0,322.0,12.1,05/26/2015 5:00 AM,OakStreetWeatherStation201505260500
57,Oak Street Weather Station,05/26/2015 06:00:00 AM,,19.0,83.0,0.0,0.0,12.1,0.0,45.0,1.0,3.4,,17.0,322.0,12.1,05/26/2015 6:00 AM,OakStreetWeatherStation201505260600
58,Oak Street Weather Station,05/26/2015 10:00:00 AM,,16.8,85.0,0.0,0.0,0.0,0.0,120.0,2.1,4.0,,154.0,0.0,12.1,05/26/2015 10:00 AM,OakStreetWeatherStation201505261000
59,Oak Street Weather Station,05/26/2015 11:00:00 AM,,17.4,84.0,0.0,0.0,0.0,0.0,110.0,1.9,4.0,988.9,106.0,0.0,12.2,05/26/2015 11:00 AM,OakStreetWeatherStation201505261100
60,Oak Street Weather Station,05/26/2015 12:00:00 PM,,19.2,79.0,0.0,0.0,0.0,0.0,110.0,2.5,5.4,987.7,234.0,0.0,12.1,05/26/2015 12:00 PM,OakStreetWeatherStation201505261200
61,Oak Street Weather Station,05/26/2015 02:00:00 PM,20.8,19.1,86.0,0.0,4.1,4.5,60.0,261.0,2.6,6.9,986.9,360.0,0.0,12.0,05/26/2015 2:00 PM,OakStreetWeatherStation201505261400
62,Oak Street Weather Station,05/26/2015 03:00:00 PM,21.7,18.9,76.0,0.0,0.0,4.5,0.0,1.0,0.7,2.3,986.7,481.0,0.0,12.1,05/26/2015 3:00 PM,OakStreetWeatherStation201505261500
63,Foster Weather Station,05/26/2015 03:00:00 PM,22.78,,63.0,,0.0,,,207.0,7.1,7.6,986.1,569.0,,15.1,05/26/2015 3:00 PM,FosterWeatherStation201505261500
64,Oak Street Weather Station,05/26/2015 04:00:00 PM,24.0,19.5,66.0,0.0,0.0,4.5,0.0,272.0,1.6,4.2,986.0,658.0,0.0,12.1,05/26/2015 4:00 PM,OakStreetWeatherStation201505261600
65,Foster Weather Station,05/26/2015 04:00:00 PM,23.28,,65.0,,0.0,,,233.0,4.1,5.1,985.4,229.0,,15.1,05/26/2015 4:00 PM,FosterWeatherStation201505261600
66,Foster Weather Station,05/26/2015 05:00:00 PM,23.78,,65.0,,0.0,,,218.0,6.9,8.0,985.4,137.0,,15.1,05/26/2015 5:00 PM,FosterWeatherStation201505261700
67,Foster Weather Station,05/26/2015 06:00:00 PM,21.89,,71.0,,2.24,,,223.0,6.9,7.7,985.8,293.0,,15.1,05/26/2015 6:00 PM,FosterWeatherStation201505261800
68,Foster Weather Station,05/26/2015 07:00:00 PM,22.28,,66.0,,0.0,,,208.0,4.9,5.3,986.1,32.0,,15.1,05/26/2015 7:00 PM,FosterWeatherStation201505261900
69,Oak Street Weather Station,05/26/2015 05:00:00 PM,24.2,20.3,70.0,0.0,0.3,4.8,60.0,331.0,0.6,2.3,985.8,139.0,0.0,12.1,05/26/2015 5:00 PM,OakStreetWeatherStation201505261700
70,Oak Street Weather Station,05/26/2015 08:00:00 PM,21.5,18.2,73.0,0.0,0.2,5.4,0.0,0.0,1.7,6.0,987.2,13.0,0.0,12.0,05/26/2015 8:00 PM,OakStreetWeatherStation201505262000
71,Foster Weather Station,05/26/2015 08:00:00 PM,21.5,,67.0,,0.0,,,234.0,2.5,3.5,986.8,12.0,,15.1,05/26/2015 8:00 PM,FosterWeatherStation201505262000
72,Foster Weather Station,05/26/2015 09:00:00 PM,21.0,,70.0,,0.0,,,231.0,4.2,4.5,987.5,0.0,,15.1,05/26/2015 9:00 PM,FosterWeatherStation201505262100
73,Foster Weather Station,05/26/2015 10:00:00 PM,20.67,,70.0,,0.0,,,189.0,1.9,2.2,988.1,1.0,,15.1,05/26/2015 10:00 PM,FosterWeatherStation201505262200
74,Oak Street Weather Station,05/26/2015 09:00:00 PM,21.7,17.9,70.0,0.0,0.0,5.4,0.0,0.0,0.8,3.7,987.8,0.0,0.0,12.1,05/26/2015 9:00 PM,OakStreetWeatherStation201505262100
75,Oak Street Weather Station,05/26/2015 11:00:00 PM,21.8,17.9,69.0,0.0,0.0,5.4,0.0,271.0,0.9,2.7,988.9,0.0,0.0,12.1,05/26/2015 11:00 PM,OakStreetWeatherStation201505262300
76,Foster Weather Station,05/26/2015 11:00:00 PM,20.56,,70.0,,0.0,,,178.0,2.5,2.8,988.5,0.0,,15.1,05/26/2015 11:00 PM,FosterWeatherStation201505262300
77,Oak Street Weather Station,05/27/2015 12:00:00 AM,21.8,18.4,73.0,0.0,0.0,5.4,0.0,280.0,2.0,5.4,988.5,0.0,0.0,12.2,05/27/2015 12:00 AM,OakStreetWeatherStation201505272400
78,Foster Weather Station,05/27/2015 12:00:00 AM,20.78,,73.0,,0.0,,,204.0,4.6,4.9,988.1,0.0,,15.1,05/27/2015 12:00 AM,FosterWeatherStation201505272400
79,Oak Street Weather Station,05/27/2015 01:00:00 AM,21.7,18.1,71.0,0.0,0.0,5.4,0.0,301.0,0.8,2.6,988.0,0.0,0.0,12.1,05/27/2015 1:00 AM,OakStreetWeatherStation201505270100
80,Foster Weather Station,05/27/2015 01:00:00 AM,21.0,,71.0,,0.0,,,238.0,3.5,4.4,987.8,1.0,,15.1,05/27/2015 1:00 AM,FosterWeatherStation201505270100
81,Oak Street Weather Station,05/27/2015 02:00:00 AM,20.8,17.9,76.0,0.0,0.0,5.4,0.0,329.0,1.5,2.9,987.9,0.0,0.0,12.1,05/27/2015 2:00 AM,OakStreetWeatherStation201505270200
82,Foster Weather Station,05/27/2015 02:00:00 AM,20.5,,73.0,,0.0,,,223.0,3.7,3.9,987.5,0.0,,15.1,05/27/2015 2:00 AM,FosterWeatherStation201505270200
83,Oak Street Weather Station,05/27/2015 03:00:00 AM,20.3,17.7,78.0,0.0,0.0,5.4,0.0,279.0,2.6,6.5,988.4,0.0,0.0,12.1,05/27/2015 3:00 AM,OakStreetWeatherStation201505270300
84,Foster Weather Station,05/27/2015 03:00:00 AM,19.67,,76.0,,0.0,,,220.0,3.9,4.7,988.1,1.0,,15.1,05/27/2015 3:00 AM,FosterWeatherStation201505270300
85,Oak Street Weather Station,05/27/2015 09:00:00 AM,21.6,17.6,67.0,0.0,0.0,5.4,0.0,269.0,2.3,4.7,991.5,783.0,0.0,12.1,05/27/2015 9:00 AM,OakStreetWeatherStation201505270900
86,Foster Weather Station,05/27/2015 09:00:00 AM,20.78,,64.0,,0.0,,,221.0,4.8,5.6,991.2,584.0,,15.1,05/27/2015 9:00 AM,FosterWeatherStation201505270900
87,Foster Weather Station,05/27/2015 10:00:00 AM,21.5,,58.0,,0.03,,,263.0,3.1,4.0,991.2,723.0,,15.1,05/27/2015 10:00 AM,FosterWeatherStation201505271000
88,Foster Weather Station,05/27/2015 11:00:00 AM,21.78,,57.0,,0.0,,,237.0,2.1,3.3,991.9,297.0,,15.1,05/27/2015 11:00 AM,FosterWeatherStation201505271100
89,Oak Street Weather Station,05/27/2015 10:00:00 AM,22.5,17.6,62.0,0.0,0.0,5.4,0.0,290.0,1.3,3.9,991.6,191.0,0.0,12.1,05/27/2015 10:00 AM,OakStreetWeatherStation201505271000
90,Oak Street Weather Station,05/27/2015 12:00:00 PM,22.8,17.1,57.0,0.0,0.0,5.4,0.0,251.0,1.6,5.4,992.5,328.0,0.0,12.1,05/27/2015 12:00 PM,OakStreetWeatherStation201505271200
91,Foster Weather Station,05/27/2015 12:00:00 PM,21.89,,58.0,,0.0,,,283.0,2.9,3.5,992.2,82.0,,15.1,05/27/2015 12:00 PM,FosterWeatherStation201505271200
92,Oak Street Weather Station,05/27/2015 01:00:00 PM,21.9,17.9,68.0,0.0,0.2,5.6,0.0,248.0,1.3,2.4,992.8,361.0,0.0,12.1,05/27/2015 1:00 PM,OakStreetWeatherStation201505271300
93,Foster Weather Station,05/27/2015 01:00:00 PM,21.06,,62.0,,0.03,,,290.0,3.4,3.7,992.6,250.0,,15.1,05/27/2015 1:00 PM,FosterWeatherStation201505271300
94,Oak Street Weather Station,05/27/2015 03:00:00 PM,23.5,17.0,52.0,0.0,0.0,5.6,0.0,303.0,0.9,5.1,993.7,160.0,0.0,12.1,05/27/2015 3:00 PM,OakStreetWeatherStation201505271500
95,Foster Weather Station,05/27/2015 04:00:00 PM,20.78,,58.0,,0.0,,,278.0,4.9,5.5,993.9,239.0,,15.1,05/27/2015 4:00 PM,FosterWeatherStation201505271600
96,Oak Street Weather Station,05/27/2015 05:00:00 PM,22.7,16.8,56.0,0.0,0.0,5.6,0.0,347.0,1.4,3.7,994.6,269.0,0.0,12.1,05/27/2015 5:00 PM,OakStreetWeatherStation201505271700
97,Foster Weather Station,05/27/2015 05:00:00 PM,22.0,,58.0,,0.0,,,269.0,3.3,4.7,994.2,568.0,,15.1,05/27/2015 5:00 PM,FosterWeatherStation201505271700
98,Oak Street Weather Station,05/27/2015 06:00:00 PM,19.1,15.8,72.0,0.0,0.0,5.6,0.0,18.0,2.6,3.8,995.1,31.0,0.0,12.1,05/27/2015 6:00 PM,OakStreetWeatherStation201505271800
99,Foster Weather Station,05/27/2015 06:00:00 PM,19.28,,67.0,,0.0,,,31.0,2.4,2.9,994.6,289.0,,15.1,05/27/2015 6:00 PM,FosterWeatherStation201505271800
100,Foster Weather Station,05/28/2015 11:00:00 AM,18.17,,69.0,,0.0,,,120.0,2.4,3.1,1000.7,766.0,,15.1,05/28/2015 11:00 AM,FosterWeatherStation201505281100
101,Foster Weather Station,05/28/2015 12:00:00 PM,17.28,,70.0,,0.0,,,114.0,2.1,2.4,1000.0,836.0,,15.1,05/28/2015 12:00 PM,FosterWeatherStation201505281200
102,Oak Street Weather Station,05/28/2015 11:00:00 AM,21.3,16.0,58.0,0.0,0.0,5.6,0.0,108.0,2.0,4.6,1000.9,847.0,0.0,12.2,05/28/2015 11:00 AM,OakStreetWeatherStation201505281100
103,Foster Weather Station,05/28/2015 01:00:00 PM,18.78,,66.0,,0.0,,,133.0,1.7,2.1,1000.0,827.0,,15.1,05/28/2015 1:00 PM,FosterWeatherStation201505281300
104,Foster Weather Station,05/28/2015 02:00:00 PM,17.67,,68.0,,0.0,,,118.0,2.0,2.1,999.3,813.0,,15.1,05/28/2015 2:00 PM,FosterWeatherStation201505281400
105,Foster Weather Station,05/28/2015 03:00:00 PM,18.56,,66.0,,0.0,,,3.0,1.1,1.4,999.0,733.0,,15.1,05/28/2015 3:00 PM,FosterWeatherStation201505281500
106,Oak Street Weather Station,05/28/2015 01:00:00 PM,20.9,16.2,62.0,0.0,0.0,5.6,0.0,98.0,1.3,2.6,1000.1,918.0,0.0,11.9,05/28/2015 1:00 PM,OakStreetWeatherStation201505281300
107,Oak Street Weather Station,05/28/2015 04:00:00 PM,22.2,16.5,56.0,0.0,0.0,5.6,0.0,55.0,0.6,1.2,999.0,553.0,0.0,12.1,05/28/2015 4:00 PM,OakStreetWeatherStation201505281600
108,Foster Weather Station,05/28/2015 04:00:00 PM,19.39,,65.0,,0.0,,,64.0,1.0,1.2,998.6,491.0,,15.1,05/28/2015 4:00 PM,FosterWeatherStation201505281600
109,Oak Street Weather Station,05/28/2015 05:00:00 PM,20.5,15.9,62.0,0.0,0.0,5.6,0.0,140.0,0.5,1.1,998.3,79.0,0.0,12.1,05/28/2015 5:00 PM,OakStreetWeatherStation201505281700
110,Foster Weather Station,05/28/2015 05:00:00 PM,19.06,,64.0,,0.0,,,49.0,2.1,2.3,998.0,501.0,,15.1,05/28/2015 5:00 PM,FosterWeatherStation201505281700
111,Oak Street Weather Station,05/28/2015 06:00:00 PM,20.2,15.8,64.0,0.0,0.0,5.6,0.0,86.0,0.7,1.4,997.7,60.0,0.0,12.1,05/28/2015 6:00 PM,OakStreetWeatherStation201505281800
112,Foster Weather Station,05/28/2015 06:00:00 PM,18.89,,66.0,,0.0,,,35.0,0.8,1.0,997.3,306.0,,15.1,05/28/2015 6:00 PM,FosterWeatherStation201505281800
113,Oak Street Weather Station,05/28/2015 07:00:00 PM,19.9,15.5,64.0,0.0,0.0,5.6,0.0,89.0,0.7,1.2,997.7,41.0,0.0,12.1,05/28/2015 7:00 PM,OakStreetWeatherStation201505281900
114,Foster Weather Station,05/28/2015 07:00:00 PM,19.0,,65.0,,0.0,,,82.0,0.8,1.0,997.3,132.0,,15.1,05/28/2015 7:00 PM,FosterWeatherStation201505281900
115,Oak Street Weather Station,05/28/2015 08:00:00 PM,19.8,15.4,63.0,0.0,0.0,5.6,0.0,133.0,0.9,1.9,997.1,12.0,0.0,12.0,05/28/2015 8:00 PM,OakStreetWeatherStation201505282000
116,Foster Weather Station,05/28/2015 08:00:00 PM,18.0,,69.0,,0.0,,,105.0,1.0,1.7,996.6,17.0,,15.1,05/28/2015 8:00 PM,FosterWeatherStation201505282000
117,Oak Street Weather Station,05/28/2015 09:00:00 PM,19.0,15.1,67.0,0.0,0.0,5.6,0.0,119.0,1.4,4.2,996.7,1.0,0.0,12.0,05/28/2015 9:00 PM,OakStreetWeatherStation201505282100
118,Foster Weather Station,05/28/2015 09:00:00 PM,17.0,,73.0,,0.0,,,105.0,3.2,3.6,996.3,0.0,,15.1,05/28/2015 9:00 PM,FosterWeatherStation201505282100
119,Foster Weather Station,05/28/2015 10:00:00 PM,16.5,,74.0,,0.0,,,74.0,1.1,1.5,996.3,0.0,,15.1,05/28/2015 10:00 PM,FosterWeatherStation201505282200
120,Oak Street Weather Station,05/28/2015 10:00:00 PM,18.1,14.7,70.0,0.0,0.0,5.6,0.0,94.0,1.5,2.5,996.6,1.0,0.0,12.0,05/28/2015 10:00 PM,OakStreetWeatherStation201505282200
121,Foster Weather Station,05/28/2015 11:00:00 PM,16.5,,74.0,,0.0,,,145.0,1.6,1.9,995.6,0.0,,15.1,05/28/2015 11:00 PM,FosterWeatherStation201505282300
122,Oak Street Weather Station,05/29/2015 12:00:00 AM,20.2,16.0,66.0,0.0,0.0,5.6,0.0,116.0,1.4,3.3,995.8,0.0,0.0,12.1,05/29/2015 12:00 AM,OakStreetWeatherStation201505292400
123,Foster Weather Station,05/29/2015 12:00:00 AM,16.56,,73.0,,0.0,,,123.0,2.1,2.4,995.3,0.0,,15.1,05/29/2015 12:00 AM,FosterWeatherStation201505292400
124,Oak Street Weather Station,05/29/2015 01:00:00 AM,21.3,16.7,64.0,0.0,0.0,5.6,0.0,113.0,1.1,1.9,995.8,0.0,0.0,12.1,05/29/2015 1:00 AM,OakStreetWeatherStation201505290100
125,Foster Weather Station,05/29/2015 01:00:00 AM,17.56,,74.0,,0.0,,,143.0,2.0,2.5,995.6,0.0,,15.1,05/29/2015 1:00 AM,FosterWeatherStation201505290100
126,Oak Street Weather Station,05/29/2015 02:00:00 AM,22.5,17.6,62.0,0.0,0.0,5.6,0.0,108.0,2.2,3.8,995.2,0.0,0.0,12.1,05/29/2015 2:00 AM,OakStreetWeatherStation201505290200
127,Foster Weather Station,05/29/2015 02:00:00 AM,20.56,,66.0,,0.0,,,175.0,2.2,2.5,994.9,0.0,,15.1,05/29/2015 2:00 AM,FosterWeatherStation201505290200
